intPIPCategoryID,MCNo,AdditionCount,RecipeColorCategory,vcColourNo,RFT
3,N-008F,0,Dark,TNB18-2841A,1
2,N-008L,2,Dark,TNB23-1396Z,0
2,N-008K,1,Dark,TNB23-2536A,0
2,N-008L,2,Light,TNB23-2915B,0
1,N-002B,1,Dark,TNB19-0248T,0
1,N-002B,0,Dark,TNB19-0248T,1
1,N-002B,1,Dark,TNB19-0248T,0
1,N-008E,1,Dark,TNB23-0099B,0
3,N-002B,1,Light,TNB23-2084C,0
3,N-002A,3,Dark,TNB22-2609Y,0
1,N-008B,2,Light,TNB19-1922AY,0
1,N-008B,2,Light,TNB19-1922AY,0
1,N-006A,0,Light,TNB23-3261B,1
1,N-008D,5,Dark,TNB23-2969B,0
3,N-002B,1,Dark,TNB23-0500TB,0
3,N-002A,0,Dark,TNB23-0241DN,1
3,N-002A,0,Dark,TNB23-0241DN,1
1,N-008D,2,Light,TNB22-0926I,0
1,N-008D,5,Light,TNB22-0926I,0
1,N-008D,0,Light,TNB22-0926I,1
3,N-002A,0,Dark,TNB19-1832T,1
3,N-008A,3,Light,TNB23-3292A,0
3,N-008L,1,Dark,TNB23-2467I,0
3,N-008L,2,Dark,TNB23-2467I,0
1,N-008K,0,Dark,TNB23-0098C,1
1,N-008K,1,Dark,TNB23-0098C,0
3,N-006A,2,Light,TNB23-1300J,0
3,N-008H,4,Medium,TNB23-1428R,0
3,N-002A,1,Dark,TNB23-2466J,0
3,N-008A,0,Dark,TNB23-2928B,1
3,N-008A,1,Dark,TNB23-2928B,0
1,N-008F,0,Dark,TNB23-0098C,1
1,N-008F,0,Dark,TNB23-0098C,1
1,N-008B,2,Light,TNB19-3423BA,0
1,N-008B,0,Light,TNB19-3423BA,1
2,N-008H,0,Dark,TNB23-0651CB,1
2,N-006A,2,Light,TNB23-2183B,0
3,N-006A,1,Light,TNB23-0613C,0
3,N-008H,1,Light,TNB22-0875F,0
3,N-008B,2,Light,TNB23-1870D,0
3,N-002A,1,Dark,TNB23-2669B,0
1,N-002A,2,Dark,TNB23-2669B,0
3,N-008K,1,Dark,TNB19-2805A,0
3,N-008K,0,Dark,TNB19-2805A,1
1,N-002A,3,Dark,TNB23-3063H,0
3,N-008D,0,Light,TNB23-0112B,1
3,N-006A,4,Light,TNB23-1959B,0
1,N-006A,0,Light,TNB23-1959B,1
3,N-008E,0,Dark,TNB23-2694B,1
3,N-006A,1,Light,TNB23-2677B,0
1,N-008C,1,Dark,TNB17-2150Y,0
3,N-008H,0,Dark,TNB23-2785B,1
3,N-008D,0,Dark,TNB23-3047A,1
3,N-008D,0,Dark,TNB23-3047A,1
1,N-008B,0,Dark,TNB19-3930GZ,1
3,N-008D,2,Light,TNB22-1016B,0
1,N-008E,1,Dark,TNB23-0099B,0
1,N-008E,0,Dark,TNB23-0099B,1
3,N-002B,3,Dark,TNB23-3180C,0
3,N-002B,0,Dark,TNB23-3180C,1
3,N-008A,1,Medium,TNB23-1524J,0
5,N-008H,2,Light,N11748P,0
4,N-008H,0,Light,N11748P,1
3,N-008D,2,Light,TNB23-2262A,0
3,N-008D,0,Light,TNB23-2262A,1
3,N-008D,3,Light,TNB23-2262A,0
3,N-002A,1,Light,TNB23-2867A,0
3,N-002A,1,Light,TNB23-2867A,0
2,N-008G,0,Dark,TNB18-2841A,1
3,N-008G,1,Dark,TNB18-2841A,0
3,N-008K,1,Dark,TNB20-1223C,0
3,N-008D,1,Dark,TNB23-1394E,0
1,N-008H,2,Light,TNB23-2469D,0
1,N-008E,0,Light,TNB23-0903BO,1
3,N-008E,1,Light,TNB23-0903BO,0
3,N-002A,3,Light,TNB23-2543E,0
3,N-002B,0,Light,TNB23-2682D,1
1,N-002B,2,Light,TNB19-2197AA,0
1,N-002B,3,Light,TNB19-2197AA,0
1,N-008F,0,Dark,TNB17-0714A,1
1,N-002A,0,Light,TNB23-2968B,1
3,N-008B,1,Dark,TNB21-0839AI,0
2,N-006A,0,Light,TNB23-2183B,1
3,N-008C,2,Dark,TNB19-0163AA,0
6,N-006A,0,Dark,TPL23-1577C,1
3,N-008E,1,Dark,TNB21-0500JK,0
1,N-002B,0,Dark,TNB23-3288A,1
1,N-002B,0,Light,TNB18-3252F,1
1,N-002B,1,Light,TNB18-3252F,0
1,N-008K,0,Dark,TNB17-1962G,1
3,N-006A,0,Light,TNC23-3115D,1
1,N-008A,0,Light,TNR23-3231J,1
1,N-008A,3,Light,TNR23-3231J,0
1,N-008A,0,Light,TNR23-3231J,1
2,N-008F,0,Dark,TNB18-2841A,1
3,N-008F,0,Dark,TNB18-2841A,1
1,N-002B,2,Dark,TNB23-2243D,0
3,N-008D,3,Light,TNB23-2217C,0
1,N-008C,0,Dark,TNB23-2466M,1
1,N-008C,0,Dark,TNB23-2466M,1
3,N-008K,0,Dark,TNB23-0600UC,1
2,N-008G,0,Dark,TNB23-3032H,1
5,N-008L,0,Dark,NC11749C,1
2,N-008H,2,Light,TNB24-0067A,0
1,N-002B,0,Medium,TNB18-1136B,1
1,N-002A,1,Light,TNB17-2195F,0
3,N-008C,2,Dark,TNB22-1044D,0
3,N-008F,0,Dark,TNB23-0241DN,1
3,N-008E,1,Dark,TNB23-0240T,0
1,N-002A,0,Dark,TNB17-1931C,1
1,N-002B,1,Light,TNB18-1135A,0
4,N-008L,0,Dark,TNB19-1833AB,1
4,N-008L,2,Dark,TNB19-1833AB,0
4,N-008L,0,Dark,TNB19-1833AB,1
3,N-008G,1,Dark,TNB19-3251BA,0
1,N-008E,4,Light,TNB22-0886B,0
1,N-008H,1,Light,TNB22-1386B,0
1,N-008H,0,Light,TNB22-1386B,1
5,N-002B,1,Dark,N11750A,0
3,N-008H,2,Dark,TNB23-0264BH,0
3,N-008A,1,Dark,TNB19-3884AU,0
6,N-008H,1,Medium,TPB21-1717A,0
5,N-008A,1,Dark,NC11749C,0
3,N-002B,0,Dark,TNB23-0651BL,1
3,N-002B,0,Dark,TNB23-0651BL,1
3,N-002B,0,Dark,TNB23-0651BL,1
2,N-008G,0,Dark,TNB17-3479E,1
2,N-008G,1,Dark,TNB17-3479E,0
1,N-008E,0,Light,TNB23-2276B,1
1,N-008C,1,Dark,TNB22-2165A,0
3,N-002B,4,Dark,TNB20-1192A,0
3,N-008K,2,Dark,TNB23-2610A,0
1,N-002B,0,Light,TNB18-3168A,1
1,N-008F,0,Dark,TNB17-1962G,1
3,N-008D,0,Dark,TNB21-0839AI,1
3,N-008D,1,Dark,TNB21-0839AI,0
1,N-008E,0,Dark,TNB17-1931C,1
1,N-006A,0,Medium,TNB18-0712B,1
1,N-008A,1,Dark,TNB17-1753C,0
1,N-008H,0,Dark,TNC17-2188F,1
1,N-002B,1,Dark,TNB18-0710A,0
1,N-002B,1,Dark,TNB18-0710A,0
3,N-006A,0,Light,TNB17-2195F,1
1,N-006A,0,Light,TNB17-2195F,1
1,N-008C,1,Dark,TNB17-2318M,0
1,N-002B,0,Light,TNB19-0242BR,1
4,N-008L,0,Dark,TNB19-1833AB,1
1,N-002B,1,Medium,TNB17-1742A,0
3,N-006A,1,Medium,TNB18-3251D,0
3,N-002A,2,Medium,TNB23-3137C,0
1,N-008D,1,Light,TNB18-0716B,0
1,N-008E,1,Dark,TNB18-2574L,0
3,N-002B,1,Light,TNC23-3135C,0
3,N-008K,1,Dark,TNB19-2805A,0
3,N-008K,1,Dark,TNB19-2805A,0
1,N-008G,0,Dark,N11585FA,1
1,N-008A,3,Dark,TNC23-2242A,0
1,N-008A,4,Dark,TNC23-2242A,0
1,N-006A,0,Light,TNB19-2290AK,1
1,N-006A,1,Light,TNB19-2290AK,0
1,N-006A,0,Light,TNB19-2290AK,1
1,N-008C,2,Light,TNB22-0926I,0
1,N-008G,0,Dark,TNB17-0714A,1
2,N-008G,1,Dark,TNB18-2938L,0
2,N-008G,0,Dark,TNB18-2938L,1
2,N-008G,0,Dark,TNB18-2938L,1
2,N-008G,0,Dark,TNB18-2938L,1
2,N-008G,0,Dark,TNB18-2938L,1
3,N-006A,3,Light,TNB23-2543E,0
3,N-008D,1,Dark,TNB23-0500Z,0
3,N-002B,1,Medium,TNB21-0166AS,0
3,N-006A,0,Light,TNB23-0112B,1
2,N-006A,2,Light,TNB23-0112B,0
3,N-006A,0,Light,TNB23-0112B,1
3,N-006A,1,Light,TNB23-0112B,0
2,N-006A,1,Light,TNB23-0112B,0
2,N-006A,1,Light,TNB23-0112B,0
3,N-008H,2,Light,TNB19-2197AE,0
3,N-002B,0,Dark,TNB23-0240T,1
5,N-002B,0,Dark,TNB21-0500HQ,1
5,N-002B,1,Dark,TNB21-0500HQ,0
3,N-002A,0,Dark,TNB23-0759B,1
3,N-006A,1,Light,TNB22-1715C,0
3,N-008G,0,Dark,TNB19-0241GO,1
1,N-002B,1,Light,TNB23-1359A,0
1,N-002B,4,Light,TNB23-1359A,0
3,N-008H,2,Light,TNB19-2197AE,0
3,N-006A,1,Light,TNB23-1870D,0
6,N-008C,1,Medium,T20588D,0
